artist,song,rank,streams,country,week
Post Malone,Better Now,1,31141447,global,2018-06-08--2018-06-15
Calvin Harris,One Kiss (with Dua Lipa),2,28504613,global,2018-06-08--2018-06-15
Cardi B,I Like It,3,25628187,global,2018-06-08--2018-06-15
Selena Gomez,Back To You,4,24186683,global,2018-06-08--2018-06-15
Maroon 5,Girls Like You (feat. Cardi B),5,22991407,global,2018-06-08--2018-06-15
Juice WRLD,Lucid Dreams,6,22947293,global,2018-06-08--2018-06-15
Ariana Grande,no tears left to cry,7,22242487,global,2018-06-08--2018-06-15
Drake,Nice For What,8,21875945,global,2018-06-08--2018-06-15
Kanye West,All Mine,9,20184391,global,2018-06-08--2018-06-15
Clean Bandit,Solo (feat. Demi Lovato),10,19937217,global,2018-06-08--2018-06-15
Post Malone,Better Now,1,29726175,global,2018-06-01--2018-06-08
Calvin Harris,One Kiss (with Dua Lipa),2,28660371,global,2018-06-01--2018-06-08
Kanye West,All Mine,3,27716117,global,2018-06-01--2018-06-08
Drake,Nice For What,4,23791759,global,2018-06-01--2018-06-08
Kanye West,Yikes,5,23601268,global,2018-06-01--2018-06-08
Kanye West,Ghost Town,6,23175643,global,2018-06-01--2018-06-08
Cardi B,I Like It,7,23024160,global,2018-06-01--2018-06-08
Ariana Grande,no tears left to cry,8,22001983,global,2018-06-01--2018-06-08
Selena Gomez,Back To You,9,20912096,global,2018-06-01--2018-06-08
Drake,God's Plan,10,20825880,global,2018-06-01--2018-06-08
Post Malone,Better Now,1,29702255,global,2018-05-25--2018-06-01
Calvin Harris,One Kiss (with Dua Lipa),2,29271455,global,2018-05-25--2018-06-01
Drake,Nice For What,3,26172922,global,2018-05-25--2018-06-01
Drake,God's Plan,4,22966660,global,2018-05-25--2018-06-01
Ariana Grande,no tears left to cry,5,22523601,global,2018-05-25--2018-06-01
Childish Gambino,This Is America,6,21619295,global,2018-05-25--2018-06-01
Nicky Jam,X,7,20059354,global,2018-05-25--2018-06-01
Nio Garcia,Te Boté - Remix,8,19829896,global,2018-05-25--2018-06-01
Cardi B,I Like It,9,19519095,global,2018-05-25--2018-06-01
Post Malone,Psycho (feat. Ty Dolla $ign),10,18658896,global,2018-05-25--2018-06-01
Post Malone,Better Now,1,30755342,global,2018-05-18--2018-05-25
Calvin Harris,One Kiss (with Dua Lipa),2,27907952,global,2018-05-18--2018-05-25
Childish Gambino,This Is America,3,27688906,global,2018-05-18--2018-05-25
Drake,Nice For What,4,26932041,global,2018-05-18--2018-05-25
Drake,God's Plan,5,23808225,global,2018-05-18--2018-05-25
Ariana Grande,no tears left to cry,6,23215317,global,2018-05-18--2018-05-25
Post Malone,Psycho (feat. Ty Dolla $ign),7,20831433,global,2018-05-18--2018-05-25
Nicky Jam,X,8,19794086,global,2018-05-18--2018-05-25
Marshmello,FRIENDS,9,19276894,global,2018-05-18--2018-05-25
Nio Garcia,Te Boté - Remix,10,19165492,global,2018-05-18--2018-05-25
Childish Gambino,This Is America,1,34989790,global,2018-05-11--2018-05-18
Post Malone,Better Now,2,32111555,global,2018-05-11--2018-05-18
Calvin Harris,One Kiss (with Dua Lipa),3,28915990,global,2018-05-11--2018-05-18
Drake,Nice For What,4,28713242,global,2018-05-11--2018-05-18
Ariana Grande,no tears left to cry,5,25525500,global,2018-05-11--2018-05-18
Drake,God's Plan,6,25294642,global,2018-05-11--2018-05-18
Post Malone,Psycho (feat. Ty Dolla $ign),7,23868633,global,2018-05-11--2018-05-18
Marshmello,FRIENDS,8,20990336,global,2018-05-11--2018-05-18
Nicky Jam,X,9,20162380,global,2018-05-11--2018-05-18
Cardi B,I Like It,10,18878956,global,2018-05-11--2018-05-18
Post Malone,Better Now,1,35690686,global,2018-05-04--2018-05-11
Drake,Nice For What,2,31421769,global,2018-05-04--2018-05-11
Calvin Harris,One Kiss (with Dua Lipa),3,29661052,global,2018-05-04--2018-05-11
Ariana Grande,no tears left to cry,4,28772949,global,2018-05-04--2018-05-11
Post Malone,Psycho (feat. Ty Dolla $ign),5,28143674,global,2018-05-04--2018-05-11
Drake,God's Plan,6,28056605,global,2018-05-04--2018-05-11
Marshmello,FRIENDS,7,22442241,global,2018-05-04--2018-05-11
Childish Gambino,This Is America,8,21599165,global,2018-05-04--2018-05-11
Nicky Jam,X,9,21292929,global,2018-05-04--2018-05-11
Post Malone,rockstar (feat. 21 Savage),10,20577580,global,2018-05-04--2018-05-11
Post Malone,Better Now,1,40788286,global,2018-04-27--2018-05-04
Post Malone,Psycho (feat. Ty Dolla $ign),2,37992220,global,2018-04-27--2018-05-04
Drake,Nice For What,3,32410762,global,2018-04-27--2018-05-04
Post Malone,Paranoid,4,31182644,global,2018-04-27--2018-05-04
Ariana Grande,no tears left to cry,5,29862555,global,2018-04-27--2018-05-04
Drake,God's Plan,6,29377797,global,2018-04-27--2018-05-04
Calvin Harris,One Kiss (with Dua Lipa),7,27860728,global,2018-04-27--2018-05-04
Post Malone,rockstar (feat. 21 Savage),8,26920146,global,2018-04-27--2018-05-04
Post Malone,Spoil My Night (feat. Swae Lee),9,25175356,global,2018-04-27--2018-05-04
Post Malone,Rich & Sad,10,24285634,global,2018-04-27--2018-05-04
Drake,Nice For What,1,39556156,global,2018-04-20--2018-04-27
Ariana Grande,no tears left to cry,2,38925971,global,2018-04-20--2018-04-27
Drake,God's Plan,3,33360627,global,2018-04-20--2018-04-27
Calvin Harris,One Kiss (with Dua Lipa),4,30380257,global,2018-04-20--2018-04-27
Post Malone,Psycho (feat. Ty Dolla $ign),5,26119695,global,2018-04-20--2018-04-27
J. Cole,KOD,6,25826342,global,2018-04-20--2018-04-27
Marshmello,FRIENDS,7,24661589,global,2018-04-20--2018-04-27
Nicky Jam,X,8,24526297,global,2018-04-20--2018-04-27
The Weeknd,Call Out My Name,9,24188094,global,2018-04-20--2018-04-27
Cardi B,I Like It,10,23903132,global,2018-04-20--2018-04-27
Drake,Nice For What,1,41781391,global,2018-04-13--2018-04-20
Drake,God's Plan,2,36157777,global,2018-04-13--2018-04-20
Post Malone,Psycho (feat. Ty Dolla $ign),3,27236788,global,2018-04-13--2018-04-20
The Weeknd,Call Out My Name,4,27130921,global,2018-04-13--2018-04-20
Calvin Harris,One Kiss (with Dua Lipa),5,26780190,global,2018-04-13--2018-04-20
Marshmello,FRIENDS,6,25445991,global,2018-04-13--2018-04-20
Nicky Jam,X,7,25335647,global,2018-04-13--2018-04-20
Lil Dicky,Freaky Friday (feat. Chris Brown),8,23545449,global,2018-04-13--2018-04-20
Cardi B,I Like It,9,21715443,global,2018-04-13--2018-04-20
Zedd,The Middle,10,20689523,global,2018-04-13--2018-04-20
Drake,God's Plan,1,37501829,global,2018-04-06--2018-04-13
Drake,Nice For What,2,33683833,global,2018-04-06--2018-04-13
The Weeknd,Call Out My Name,3,27891718,global,2018-04-06--2018-04-13
Post Malone,Psycho (feat. Ty Dolla $ign),4,27252126,global,2018-04-06--2018-04-13
Marshmello,FRIENDS,5,24749374,global,2018-04-06--2018-04-13
Nicky Jam,X,6,24594924,global,2018-04-06--2018-04-13
Lil Dicky,Freaky Friday (feat. Chris Brown),7,21673663,global,2018-04-06--2018-04-13
XXXTENTACION,SAD!,8,21309688,global,2018-04-06--2018-04-13
Dua Lipa,IDGAF,9,20529481,global,2018-04-06--2018-04-13
Zedd,The Middle,10,20218662,global,2018-04-06--2018-04-13
The Weeknd,Call Out My Name,1,40628023,global,2018-03-30--2018-04-06
Drake,God's Plan,2,38941068,global,2018-03-30--2018-04-06
Post Malone,Psycho (feat. Ty Dolla $ign),3,28146377,global,2018-03-30--2018-04-06
Nicky Jam,X,4,24447827,global,2018-03-30--2018-04-06
Marshmello,FRIENDS,5,24267771,global,2018-03-30--2018-04-06
The Weeknd,Try Me,6,24189356,global,2018-03-30--2018-04-06
XXXTENTACION,SAD!,7,22478204,global,2018-03-30--2018-04-06
The Weeknd,Wasted Times,8,21345197,global,2018-03-30--2018-04-06
Dua Lipa,IDGAF,9,20566362,global,2018-03-30--2018-04-06
Zedd,The Middle,10,20248458,global,2018-03-30--2018-04-06
Drake,God's Plan,1,42879151,global,2018-03-23--2018-03-30
Post Malone,Psycho (feat. Ty Dolla $ign),2,31221103,global,2018-03-23--2018-03-30
XXXTENTACION,SAD!,3,27215954,global,2018-03-23--2018-03-30
Marshmello,FRIENDS,4,25664581,global,2018-03-23--2018-03-30
Nicky Jam,X,5,24968351,global,2018-03-23--2018-03-30
Dua Lipa,IDGAF,6,22504143,global,2018-03-23--2018-03-30
Shawn Mendes,In My Blood,7,21904395,global,2018-03-23--2018-03-30
Zedd,The Middle,8,21629499,global,2018-03-23--2018-03-30
Kendrick Lamar,All The Stars (with SZA),9,21429599,global,2018-03-23--2018-03-30
BlocBoy JB,Look Alive (feat. Drake),10,20937956,global,2018-03-23--2018-03-30
Drake,God's Plan,1,44495999,global,2018-03-16--2018-03-23
Post Malone,Psycho (feat. Ty Dolla $ign),2,31615651,global,2018-03-16--2018-03-23
XXXTENTACION,SAD!,3,30504985,global,2018-03-16--2018-03-23
Marshmello,FRIENDS,4,25163028,global,2018-03-16--2018-03-23
Kendrick Lamar,All The Stars (with SZA),5,23084758,global,2018-03-16--2018-03-23
BlocBoy JB,Look Alive (feat. Drake),6,22486856,global,2018-03-16--2018-03-23
Dua Lipa,IDGAF,7,22298666,global,2018-03-16--2018-03-23
Zedd,The Middle,8,21344284,global,2018-03-16--2018-03-23
Nicky Jam,X,9,21338460,global,2018-03-16--2018-03-23
Bazzi,Mine,10,20919023,global,2018-03-16--2018-03-23
Drake,God's Plan,1,47148714,global,2018-03-09--2018-03-16
Post Malone,Psycho (feat. Ty Dolla $ign),2,33112210,global,2018-03-09--2018-03-16
Kendrick Lamar,All The Stars (with SZA),3,26332855,global,2018-03-09--2018-03-16
Marshmello,FRIENDS,4,25145965,global,2018-03-09--2018-03-16
Dua Lipa,IDGAF,5,23266286,global,2018-03-09--2018-03-16
Zedd,The Middle,6,22125746,global,2018-03-09--2018-03-16
BlocBoy JB,Look Alive (feat. Drake),7,21453754,global,2018-03-09--2018-03-16
Bazzi,Mine,8,21246936,global,2018-03-09--2018-03-16
Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",9,19683315,global,2018-03-09--2018-03-16
XXXTENTACION,SAD!,10,19213351,global,2018-03-09--2018-03-16
Drake,God's Plan,1,51378259,global,2018-03-02--2018-03-09
Post Malone,Psycho (feat. Ty Dolla $ign),2,37497635,global,2018-03-02--2018-03-09
Kendrick Lamar,All The Stars (with SZA),3,28203588,global,2018-03-02--2018-03-09
Marshmello,FRIENDS,4,23594039,global,2018-03-02--2018-03-09
Dua Lipa,IDGAF,5,23506139,global,2018-03-02--2018-03-09
Bazzi,Mine,6,22677869,global,2018-03-02--2018-03-09
BlocBoy JB,Look Alive (feat. Drake),7,21104248,global,2018-03-02--2018-03-09
Zedd,The Middle,8,20963966,global,2018-03-02--2018-03-09
The Weeknd,Pray For Me (with Kendrick Lamar),9,20201000,global,2018-03-02--2018-03-09
Post Malone,rockstar,10,19708050,global,2018-03-02--2018-03-09
Drake,God's Plan,1,54891573,global,2018-02-23--2018-03-02
Post Malone,Psycho (feat. Ty Dolla $ign),2,45142484,global,2018-02-23--2018-03-02
